Title,Authors,Price,Stars,Number of Reviews,Published Date,Country
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow 3e: Concepts, Tools, and Techniques to Build Intelligent Systems  ",[],68.(AU Dollars),,,31 October 2022,Australia
Machine Learning for Absolute Beginners: A Plain English Introduction (Third Edition) (Machine Learning with Python for Beginners Book Series 1)  ,[],0.(AU Dollars),,,31 December 2020,Australia
The Hundred-Page Machine Learning Book  ,[],49.(AU Dollars),,,1 January 2019,Australia
Machine Learning: A Probabilistic Perspective (Adaptive Computation and Machine Learning series)  ,[],161.(AU Dollars),,,7 September 2012,Australia
Approaching (Almost) Any Machine Learning Problem  ,[],9.(AU Dollars),,,30 June 2020,Australia
Designing Machine Learning Systems: An Iterative Process for Production-Ready Applications  ,[],51.(AU Dollars),,,1 May 2022,Australia
"Hands-on Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems  ",[],,,,15 October 2019,Australia
Machine Learning with Python: A Practical Beginners’ Guide (Machine Learning with Python for Beginners Book Series 2)  ,[],5.(AU Dollars),,,15 August 2019,Australia
Probabilistic Machine Learning: Advanced Topics (Adaptive Computation and Machine Learning series)  ,[],176.(AU Dollars),,,15 August 2023,Australia
Machine Learning with PyTorch and Scikit-Learn: Develop machine learning and deep learning models with Python  ,[],44.(AU Dollars),,,25 February 2022,Australia
"Machine Learning For Absolute Beginners: A Plain English Introduction (Second Edition) (AI, Data Science, Python & Statistics for Beginners)  ",[],0.(AU Dollars),,,21 June 2017,Australia
Applied Machine Learning and AI for Engineers: Solve Business Problems That Can't Be Solved Algorithmically  ,[],100.(AU Dollars),,,25 November 2022,Australia
Probabilistic Machine Learning: An Introduction (Adaptive Computation and Machine Learning series)  ,[],129.(AU Dollars),,,1 March 2022,Australia
AI and Machine Learning For Coders: A Programmer's Guide to Artificial Intelligence  ,[],51.(AU Dollars),,,16 October 2020,Australia
Machine Learning for Earth Sciences: Using Python to Solve Geological Problems  ,[],168.(AU Dollars),,,23 September 2023,Australia
Linear Algebra and Optimization for Machine Learning: A Textbook  ,[],59.(AU Dollars),,,13 May 2020,Australia
Real-World Machine Learning  ,[],55.(AU Dollars),,,15 September 2016,Australia
"JUMPSTART YOUR MACHINE LEARNING JOURNEY: LEARN EFFORTLESSLY, EVEN WITH NO PRIOR EXPERIENCE: ACCELERATE YOUR CAREER IN DATA SCIENCE AND ARTIFICIAL INTELLIGENCE WITH MACHINE LEARNING  ",[],0.(AU Dollars),,,3 October 2023,Australia
Machine Learning Book Python : The Perfect Handbook For Building A Top-Notch Code In Scratch And Using Python Data Science Programming To Elevate Your ... The Ordinary (Python programming language)  ,[],0.(AU Dollars),,,10 December 2020,Australia
"Machine Learning in Medical Imaging: 14th International Workshop, MLMI 2023, Held in Conjunction with MICCAI 2023, Vancouver, BC, Canada, October 8, 2023, ... Notes in Computer Science Book 14349)  ",[],101.(AU Dollars),,,14 October 2023,Australia
Machine Learning and Data Science Blueprints for Finance: From Building Trading Strategies to Robo-Advisors Using Python  ,[],84.(AU Dollars),,,5 January 2021,Australia
Deep Learning: A Visual Approach  ,[],93.(AU Dollars),,,14 September 2021,Australia
"Practicing Trustworthy Machine Learning: Consistent, Transparent, and Fair AI Pipelines  ",[],88.(AU Dollars),,,13 January 2023,Australia
Statistics for Machine Learning: Implement Statistical methods used in Machine Learning using Python (English Edition)  ,[],56.(AU Dollars),,,15 January 2021,Australia
Machine Learning in Finance: Use Machine Learning Techniques for Day Trading and Value Trading in the Stock Market (Financial Data Analytics Using Python Book 3)  ,[],0.(AU Dollars),,,13 September 2018,Australia
Age of Invisible Machines: A Practical Guide to Creating a Hyperautomated Ecosystem of Intelligent Digital Workers  ,[],34.(AU Dollars),,,20 September 2022,Australia
Machine Learning A-Z: Become Kaggle Master  ,[],0.(AU Dollars),,,19 September 2023,Australia
"Machine Learning Algorithms: Popular algorithms for data science and machine learning, 2nd Edition  ",[],96.(AU Dollars),,,30 August 2018,Australia
"Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra, Probability, and Statistics  ",[],51.(AU Dollars),,,10 June 2022,Australia
Python Machine Learning: The Ultimate Beginner's Guide to Learn Python Machine Learning Step by Step using Scikit-Learn and Tensorflow (Computer Programming)  ,[],0.(AU Dollars),,,14 January 2022,Australia
The Hundred-Page Machine Learning Book en français (French Edition)  ,[],61.(AU Dollars),,,10 January 2022,Australia
"Machine Learning: 2 Manuscripts in 1 Book - Neural Networks Understand How Neural Networks Work, Deep Learning A Sensible Guide Presenting the Concepts (Machine Learning Series 3)  ",[],0.(AU Dollars),,,14 June 2018,Australia
