timestamp,coin,price
2026-01-09 21-52-02,bitcoin,91488
2026-01-09 21-52-02,ethereum,3131.71
2026-01-09 21-52-02,tether,0.999051
2026-01-09 21-52-02,ripple,2.14
2026-01-09 21-52-02,binancecoin,898.98
2026-01-09 21-52-02,solana,139.6
2026-01-09 21-52-02,usd-coin,0.999829
2026-01-09 21-52-02,tron,0.296588
2026-01-09 21-52-02,staked-ether,3131.56
2026-01-09 21-52-02,dogecoin,0.143598
2026-01-09 21-53-36,bitcoin,91478
2026-01-09 21-53-36,ethereum,3131.11
2026-01-09 21-53-36,tether,0.999048
2026-01-09 21-53-36,ripple,2.14
2026-01-09 21-53-36,binancecoin,898.51
2026-01-09 21-53-36,solana,139.69
2026-01-09 21-53-36,usd-coin,0.999778
2026-01-09 21-53-36,tron,0.296585
2026-01-09 21-53-36,staked-ether,3132.62
2026-01-09 21-53-36,dogecoin,0.143562
